#{"t_start": 1744471136.776834, "env_id": "LunarLander-v2"}
r,l,t
180.760038,553,758.309007
-77.109392,325,759.417057
-68.868727,135,759.90704
-127.688717,544,764.93884
135.185301,549,767.0265
210.896943,489,768.943951
117.047019,854,775.876201
131.192631,438,777.663478
215.90104,428,779.131776
237.858604,515,781.214544
158.790086,824,787.225817
216.029411,556,789.250125
-32.979598,243,790.118268
-139.214256,507,791.956345
191.198748,594,797.868445
204.389809,520,800.08618
100.726018,680,802.62852
249.10269,492,804.386539
-114.222487,505,809.701726
221.885864,499,811.351487
133.096996,570,813.275467
215.281949,452,814.851647
-69.102639,450,819.931608
120.57712,717,822.365842
-99.911165,488,824.437264
172.589436,569,826.458507
144.736508,624,832.090088
-80.505044,483,834.001759
136.919637,461,835.6554
-87.234283,430,837.243649
111.396874,627,842.990431
165.893136,560,844.999316
131.964943,568,847.138085
125.901639,848,853.33188
154.955781,704,855.770518
236.192521,786,858.285956
-61.781072,433,862.886176
163.388524,654,865.046724
-217.040882,765,867.805963
104.819148,661,873.122265
-113.583529,660,875.029515
-79.7733,371,876.323996
-207.82458,696,881.94923
166.929772,510,883.655776
174.240215,540,885.278655
-103.055633,497,886.920116
197.077699,600,892.580474
158.04271,576,894.644883
155.774411,680,897.126889
113.382214,752,903.215103
-102.694482,580,905.334055
134.896785,751,907.997437
-200.538097,597,914.567032
248.385408,493,916.079285
-238.724539,908,919.309805
171.140979,606,921.529081
-25.4039,430,926.524322
-45.774562,230,927.415099
161.370878,725,930.169181
219.956959,543,931.913199
127.37052,686,937.575
268.232698,621,939.851027
-120.752004,543,941.810756
-58.66898,271,942.974189
195.777832,536,947.838711
247.168878,447,949.281229
-105.992764,432,950.891861
-12.326369,412,952.495594
-126.661918,482,957.268969
-43.29005,488,958.69025
140.306679,517,960.647235
201.880231,508,962.368772
-64.70028,382,966.607037
-85.762471,373,967.738633
167.213727,516,969.66293
-101.982604,505,971.36166
189.521159,499,972.902232
166.07791,568,978.030249
-140.351477,483,980.006515
-62.364207,1000,983.677813
-106.642818,416,988.79974
209.99556,565,991.003573
-152.638856,738,993.6327
-54.278241,260,994.390921
-66.849942,189,995.096935
140.565374,547,1000.129363
166.985259,594,1002.218645
111.20697,597,1004.187946
198.313831,494,1009.099793
-80.574545,421,1010.59888
177.503262,524,1012.271648
-58.084195,322,1013.3455
-100.889881,449,1015.093447
165.419723,548,1020.043311
-47.764867,167,1020.676988
178.602853,476,1022.313192
-115.523699,596,1024.569111
191.583579,450,1029.055329
-40.674247,326,1029.989664
-97.72827,491,1031.610052
184.802486,447,1033.262036
210.734624,425,1034.652084
-80.380149,473,1039.413357
157.076044,646,1041.482846
-29.116813,290,1042.306036
148.713237,641,1044.452117
182.898237,443,1048.796592
131.660418,471,1050.629536
215.889692,524,1052.304239
160.725479,430,1053.621455
186.515522,356,1054.594724
-46.761066,241,1058.669718
225.521351,401,1059.875696
-44.370867,427,1061.117753
-79.32508,339,1062.412537
196.549599,601,1064.78921
193.347048,332,1068.865823
-121.780174,564,1070.870342
-72.028227,342,1071.961589
-138.813469,418,1073.557911
206.867752,499,1075.286405
-124.30472,664,1080.891223
168.549475,394,1082.196546
219.877257,387,1083.657427
-112.885199,394,1085.003944
172.148889,549,1090.488923
-20.063442,462,1092.006808
-83.396334,281,1092.916414
237.769303,454,1094.511192
146.598745,396,1095.816992
-57.006773,209,1099.848509
226.791117,451,1101.44143
191.440989,436,1102.893266
246.392797,562,1104.824941
-66.414966,297,1105.755239
211.355047,469,1110.459584
188.520018,549,1112.493273
-66.884835,199,1113.245713
-95.711117,277,1114.09845
-119.62568,441,1115.563503
160.932781,424,1120.096671
-51.892684,499,1121.797896
-70.807201,368,1123.122902
211.339852,440,1124.583683
160.824214,511,1126.034577
221.145573,571,1131.309393
-58.167563,210,1131.945357
214.365328,551,1133.839846
241.819428,379,1135.218186
-95.806277,591,1140.417509
211.113771,444,1142.162957
222.851834,429,1143.760348
-44.247997,381,1145.201961
213.074373,417,1146.666497
-120.627744,362,1151.316296
132.460075,548,1153.357751
-53.430172,401,1154.729287
-79.878363,450,1156.276098
204.229022,356,1157.76851
-42.089992,333,1162.612056
-90.560578,462,1164.384346
-104.767957,414,1166.049337
98.275011,535,1168.028708
182.597207,451,1169.672951
-46.527964,333,1174.470869
205.530749,437,1176.224533
-62.332657,341,1177.476953
188.351497,358,1178.870684
154.64983,660,1181.233803
211.081768,468,1186.136895
-33.237991,222,1187.045899
170.828655,386,1188.31521
187.976597,320,1189.551468
191.394002,479,1191.093647
-43.480865,426,1196.198809
-75.955762,361,1197.326542
-32.920948,297,1198.445139
-69.550277,324,1199.719337
153.841098,552,1201.636478
-33.643049,270,1202.59854
-73.268997,337,1206.673147
178.837226,484,1208.295153
-32.379927,414,1209.7448
-119.010392,385,1210.914897
138.41968,795,1216.969923
-73.371525,339,1217.944116
251.594912,674,1220.196851
-56.749798,358,1221.418883
203.680719,482,1226.197409
-86.141796,408,1227.671345
-37.984252,361,1229.047526
-72.489486,424,1230.590065
-90.06395,390,1231.918392
130.979189,584,1236.895801
-68.168083,422,1238.328505
-68.094906,407,1239.662462
194.385864,437,1241.348119
143.925726,451,1243.032832
185.960074,465,1248.109932
188.550982,466,1249.847133
-106.745558,435,1251.249837
133.614811,673,1253.593896
97.935387,457,1258.986489
-113.262471,463,1260.591593
206.454691,477,1262.345154
-66.20156,397,1264.070955
186.049068,526,1269.592887
191.620567,505,1271.491526
148.658654,948,1275.40501
-73.588456,377,1276.797335
247.797116,569,1282.437998
207.106315,507,1284.462629
185.712339,466,1286.282363
114.124415,1000,1293.819848
131.86604,702,1296.675255
-61.675872,343,1298.043586
208.592964,474,1299.989798
140.407194,685,1306.46815
-86.412091,530,1308.282762
-132.680937,584,1310.293133
-81.426764,415,1315.312502
139.976353,782,1318.071339
-109.402607,540,1319.962851
92.771348,819,1326.712018
-71.310306,458,1328.467937
-70.246618,173,1329.098366
184.337032,719,1331.680513
165.208855,518,1336.855621
-69.472563,309,1338.1557
