rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/clip_range
53.404863530000014,307200,150,887,509.24,346,0.00025,0.93261576,1490,-1.135351300612092,0.0037920335,43.473706962168215,-0.006094983719231095,0.01982421875,3.246695041656494,0.2
54.62446981,309248,151,893,518.09,346,0.00025,0.8826452,1500,-1.1632807396352292,0.0034008038,79.29922246038913,-0.004086993905366399,0.013232421875,132.63876342773438,0.2
52.69919223000001,311296,152,898,509.77,346,0.00025,0.8335559,1510,-1.2396432235836983,0.0042661508,18.148770605772732,-0.0008122732877382077,0.0150390625,4.813144207000732,0.2
55.92456601000001,313344,153,904,527.33,346,0.00025,0.8690227,1520,-1.1602270301431417,0.0029174336,76.20427828133106,-0.0015280555147910491,0.004345703125,27.13463592529297,0.2
53.14492197,315392,154,910,500.05,346,0.00025,0.92800367,1530,-1.2361996591091156,0.007860603,12.76873127296567,-0.005625236977357418,0.050341796875,4.171334266662598,0.2
49.95623540000001,317440,155,916,482.58,346,0.00025,0.8779258,1540,-1.155414018034935,0.0073314486,41.06985039263964,-0.006767542133457027,0.05458984375,4.699229717254639,0.2
49.89517909999999,319488,156,921,482.25,346,0.00025,0.8656152,1550,-1.1120487567037345,0.0027779476,115.89556898772716,-0.0027103918560897,0.025537109375,50.40145492553711,0.2
49.794608569999994,321536,157,927,482.25,346,0.00025,0.8994723,1560,-1.2160046987235547,0.008871878,23.20010582730174,-0.00291491229145322,0.04052734375,7.85023307800293,0.2
51.148399010000006,323584,158,933,473.16,346,0.00025,0.9791154,1570,-1.2060968089848756,0.007999253,5.663102542981505,-0.006726698708371259,0.029248046875,2.082038164138794,0.2
53.03669626000001,325632,159,938,481.93,346,0.00025,0.89304495,1580,-1.1692113246768714,0.0075187925,48.81421612724662,-0.004754442939884029,0.014892578125,55.68613815307617,0.2
53.12217849999999,327680,160,944,482.32,346,0.00025,0.8497276,1590,-1.1729338042438031,0.0036347583,57.21382292583585,-0.0011405038269003854,0.014892578125,8.134294509887695,0.2
56.4960104,329728,161,950,498.72,347,0.00025,0.9222293,1600,-1.1871539175510406,0.0035529877,32.671617010235785,-0.006602750153979287,0.017919921875,11.256534576416016,0.2
56.29058817,331776,162,955,490.09,347,0.00025,0.9572744,1610,-1.209622758626938,0.010626724,6.088822873681783,-0.010587641765596345,0.088720703125,1.6688545942306519,0.2
58.12667003000001,333824,163,961,498.81,347,0.00025,0.9157745,1620,-1.1542177118360997,0.008301363,31.44548603221774,-0.005990786658367142,0.03134765625,1.458870530128479,0.2
57.46959653000001,335872,164,967,498.81,347,0.00025,0.9317297,1630,-1.209175468608737,0.011609262,21.964176189154387,-0.006199338324950077,0.059326171875,7.191521644592285,0.2
56.59825918000001,337920,165,973,489.83,347,0.00025,0.9468675,1640,-1.1504679813981056,0.006309421,11.752162597328425,-0.00634465843468206,0.03125,2.1210734844207764,0.2
59.26700057,339968,166,978,507.39,347,0.00025,0.8636937,1650,-1.1239374853670596,0.004457972,37.26929134130478,-0.0041908697370672595,0.0193359375,5.250818252563477,0.2
57.38030682999999,342016,167,984,506.67,347,0.00025,0.97658324,1660,-1.1627634055912495,0.007893478,6.693708986416459,-0.005462406054721214,0.036572265625,2.6726279258728027,0.2
